ID;Date;Amount;SumS
38700;09.02.2025;3;1 752
17357;17.02.2025;17;2 814
34383;17.02.2025;9;2 062
36295;03.02.2025;27;3 123
33887;10.02.2025;3;298
40787;10.02.2025;28;13 986
39187;14.02.2025;1;400
39185;21.02.2025;34;13 073
33886;22.02.2025;3;298
13450;02.02.2025;7;934
39232;13.02.2025;28;9 382
8673;10.02.2025;41;5 329
39347;28.02.2025;7;1 388
37884;20.02.2025;15;4 371
36334;13.02.2025;35;14 447
32828;15.02.2025;73;7 285
40500;13.02.2025;63;6 773
39027;15.02.2025;1;583
13449;13.02.2025;31;4 176
37996;09.02.2025;4;798
38919;27.02.2025;17;6 124
24752;16.02.2025;1;180
31419;02.02.2025;3;1 037
39345;17.02.2025;3;569
17354;21.02.2025;21;3 476
39082;10.02.2025;49;8 475
8673;13.02.2025;21;3 012
1805;16.02.2025;8;3 996
39082;27.02.2025;17;2 868
31592;15.02.2025;71;11 728
9429;09.02.2025;7;999
9423;21.02.2025;66;8 768
38815;20.02.2025;13;4 784
30737;13.02.2025;15;6 026
40342;27.02.2025;1;125
17358;15.02.2025;29;4 802
40052;16.02.2025;3;598
17333;27.02.2025;27;4 513
17355;13.02.2025;3;493
40787;27.02.2025;24;12 096
39030;10.02.2025;14;6 007
35440;09.02.2025;8;1 302
39696;09.02.2025;3;1 752
39976;27.02.2025;1;426
32666;14.02.2025;1;400
32215;16.02.2025;3;493
36334;27.02.2025;17;6 896
37885;15.02.2025;6;1 570
34620;28.02.2025;24;3 393
38817;21.02.2025;10;2 772
37964;15.02.2025;11;4 670
36334;10.02.2025;4;1 770
36783;27.02.2025;6;3 297
37176;15.02.2025;1;583
39033;20.02.2025;3;1 483
17333;10.02.2025;34;5 575
40500;10.02.2025;38;3 793
34245;16.02.2025;6;2 780
17360;28.02.2025;20;4 461
40342;10.02.2025;3;374
32824;21.02.2025;38;3 571
38918;14.02.2025;3;869
40342;13.02.2025;6;747
39171;28.02.2025;3;3 330
35428;20.02.2025;8;1 077
38538;14.02.2025;1;400
38699;20.02.2025;10;4 366
33088;03.02.2025;3;406
39713;10.02.2025;14;1 736
17360;27.02.2025;21;3 525
32822;02.02.2025;7;718
39717;16.02.2025;91;11 526
3612;22.02.2025;25;3 198
35575;22.02.2025;14;9 310
39175;13.02.2025;118;20 075
38235;28.02.2025;1;425
35428;03.02.2025;10;1 330
37993;16.02.2025;8;1 336
40052;17.02.2025;20;3 990
38700;15.02.2025;49;24 431
32823;14.02.2025;7;913
39713;27.02.2025;50;6 560
39231;27.02.2025;21;7 864
36783;09.02.2025;3;1 648
36296;16.02.2025;63;6 182
17353;15.02.2025;11;1 848
40787;16.02.2025;70;35 008
31592;28.02.2025;76;13 677
39607;14.02.2025;4;1 312
38983;17.02.2025;1;375
32666;20.02.2025;7;2 782
33419;15.02.2025;11;1 567
39176;20.02.2025;8;1 654
36557;16.02.2025;20;6 504
37076;21.02.2025;28;2 799
33888;21.02.2025;1;109
32824;10.02.2025;34;3 572
39232;02.02.2025;27;9 482
39061;22.02.2025;13;36 304
39696;28.02.2025;22;12 895
37886;10.02.2025;8;2 188
39030;03.02.2025;10;4 395
40051;22.02.2025;1;200
30734;17.02.2025;21;6 289
19251;14.02.2025;3;1 851
38209;03.02.2025;10;1 768
13449;02.02.2025;7;934
40217;28.02.2025;24;7 951
39185;02.02.2025;13;5 407
32823;17.02.2025;1;100
38767;15.02.2025;1;298
37884;21.02.2025;6;1 755
17354;27.02.2025;29;5 260
40339;13.02.2025;1;125
33088;09.02.2025;3;389
34245;22.02.2025;8;3 596
35466;14.02.2025;1;405
38816;17.02.2025;6;1 822
1446;21.02.2025;1;495
39033;09.02.2025;6;2 946
37733;27.02.2025;27;2 717
39294;21.02.2025;10;4 495
38814;09.02.2025;3;1 103
37470;28.02.2025;4;2 198
39026;15.02.2025;8;4 327
11941;15.02.2025;43;23 727
39032;14.02.2025;4;1 613
31592;14.02.2025;13;2 698
5884;09.02.2025;13;3 893
37935;28.02.2025;22;8 658
30736;27.02.2025;1;500
38983;14.02.2025;1;634
38266;28.02.2025;7;1 213
39827;10.02.2025;3;1 199
34383;27.02.2025;3;413
11941;21.02.2025;17;8 491
38234;14.02.2025;3;1 714
13449;22.02.2025;1;130
17358;16.02.2025;29;4 725
39175;02.02.2025;6;1 208
30902;17.02.2025;7;2 796
33886;15.02.2025;141;14 030
39233;09.02.2025;3;1 314
30902;20.02.2025;15;6 797
36714;13.02.2025;11;4 318
17356;03.02.2025;14;2 368
35935;09.02.2025;7;705
8673;14.02.2025;90;11 776
38981;28.02.2025;6;1 503
38646;27.02.2025;3;1 371
34245;02.02.2025;7;3 243
17353;09.02.2025;6;1 112
36557;28.02.2025;50;17 281
38919;09.02.2025;3;1 226
37222;09.02.2025;6;2 154
37964;16.02.2025;1;425
39695;14.02.2025;3;2 536
39231;10.02.2025;52;19 474
35308;28.02.2025;1;524
39031;21.02.2025;10;3 794
38785;15.02.2025;1;424
38817;27.02.2025;3;869
40050;15.02.2025;28;5 590
39694;17.02.2025;1;500
39705;02.02.2025;14;1 953
39173;14.02.2025;1;174
32823;20.02.2025;3;324
35515;28.02.2025;31;14 002
38267;02.02.2025;28;2 786
34620;02.02.2025;56;10 066
40049;03.02.2025;7;1 396
39034;21.02.2025;20;7 329
39248;09.02.2025;3;963
37476;20.02.2025;8;2 364
36782;13.02.2025;13;7 498
32824;27.02.2025;294;30 921
38234;17.02.2025;3;1 274
30737;22.02.2025;14;5 593
33089;13.02.2025;7;839
31420;03.02.2025;3;1 009
40219;21.02.2025;3;608
39347;27.02.2025;17;3 378
1446;15.02.2025;1;600
39703;13.02.2025;4;558
37885;16.02.2025;1;274
38482;28.02.2025;6;3 025
4295;09.02.2025;7;3 173
4295;03.02.2025;8;3 354
17357;21.02.2025;4;678
35756;03.02.2025;1;295
17355;02.02.2025;29;4 910
37042;15.02.2025;4;342
39527;14.02.2025;4;2 336
40220;09.02.2025;108;21 555
37474;15.02.2025;3;599
40049;20.02.2025;10;2 359
38645;27.02.2025;11;4 759
24609;28.02.2025;6;2 988
37733;21.02.2025;41;4 028
39082;14.02.2025;13;2 603
34383;21.02.2025;1;123
39082;28.02.2025;45;8 043
39826;09.02.2025;4;1 444
36297;14.02.2025;1;103
37934;14.02.2025;1;300
1805;20.02.2025;6;3 354
17328;10.02.2025;3;475
37993;02.02.2025;11;1 809
37472;03.02.2025;4;859
35433;03.02.2025;8;994
39176;17.02.2025;1;174
11007;13.02.2025;22;13 189
39232;28.02.2025;36;18 988
39694;28.02.2025;8;3 996
37885;13.02.2025;24;7 256
34621;09.02.2025;11;1 697
37887;27.02.2025;8;2 252
40051;02.02.2025;8;1 330
37930;03.02.2025;1;274
37477;21.02.2025;1;250
32214;13.02.2025;21;7 234
22220;22.02.2025;17;2 796
37272;15.02.2025;14;5 980
8673;17.02.2025;13;1 698
39032;28.02.2025;27;10 488
39032;20.02.2025;6;2 454
17357;15.02.2025;59;9 798
39709;20.02.2025;41;5 240
13449;14.02.2025;11;1 701
35308;20.02.2025;10;3 660
36782;10.02.2025;1;609
38208;28.02.2025;6;2 288
39696;14.02.2025;1;845
17331;21.02.2025;43;7 094
33886;21.02.2025;34;3 193
36298;17.02.2025;6;567
40219;15.02.2025;56;11 288
39527;17.02.2025;8;3 237
36295;15.02.2025;1;142
22220;16.02.2025;4;658
30622;09.02.2025;6;3 576
35575;13.02.2025;32;28 896
37176;27.02.2025;7;3 965
31419;17.02.2025;14;4 193
36295;21.02.2025;4;508
39295;01.02.2025;4;1 598
30737;28.02.2025;7;2 796
39175;28.02.2025;20;7 720
39233;20.02.2025;8;3 549
8673;28.02.2025;11;1 561
34246;09.02.2025;4;2 223
37179;09.02.2025;1;451
33088;21.02.2025;6;719
39173;03.02.2025;3;548
6006;15.02.2025;46;9 194
32215;14.02.2025;14;2 342
33889;02.02.2025;7;718
34245;14.02.2025;3;1 348
35309;27.02.2025;3;718
17360;10.02.2025;32;5 229
3841;14.02.2025;10;1 327
36333;10.02.2025;6;1 857
32828;13.02.2025;29;3 107
36782;27.02.2025;17;9 461
37470;17.02.2025;11;6 162
36299;28.02.2025;43;4 397
37474;21.02.2025;1;200
39034;10.02.2025;39;14 874
40049;09.02.2025;6;1 197
37470;20.02.2025;3;1 674
3613;03.02.2025;1;134
39027;10.02.2025;38;20 881
32826;20.02.2025;8;796
32214;27.02.2025;1;325
22223;20.02.2025;18;3 215
38918;17.02.2025;1;290
39345;15.02.2025;29;5 240
35216;20.02.2025;4;1 467
36780;17.02.2025;3;1 199
36557;14.02.2025;10;3 288
39294;13.02.2025;27;12 618
30734;09.02.2025;6;1 963
38538;20.02.2025;1;467
40339;16.02.2025;14;1 743
37472;09.02.2025;4;798
22219;21.02.2025;28;4 606
35433;09.02.2025;15;1 981
37966;28.02.2025;11;7 995
32215;28.02.2025;38;6 728
34245;28.02.2025;29;13 045
17333;02.02.2025;7;1 187
13450;09.02.2025;10;1 389
39230;13.02.2025;39;13 303
39295;15.02.2025;21;8 451
22223;09.02.2025;8;1 427
37300;28.02.2025;6;4 443
35515;17.02.2025;13;5 843
39027;13.02.2025;6;3 297
22223;03.02.2025;7;1 212
39827;13.02.2025;67;26 835
31419;14.02.2025;3;1 078
39512;13.02.2025;36;7 226
40220;21.02.2025;3;608
33418;20.02.2025;1;146
33419;21.02.2025;8;1 188
40050;27.02.2025;24;4 927
40052;28.02.2025;18;3 812
17360;16.02.2025;6;1 010
39348;28.02.2025;13;4 147
35402;09.02.2025;1;375
35433;20.02.2025;3;430
39248;15.02.2025;4;1 639
35440;27.02.2025;18;2 588
39347;10.02.2025;1;190
38646;10.02.2025;7;3 035
39186;17.02.2025;8;3 237
39033;03.02.2025;8;3 596
37935;14.02.2025;3;1 137
37045;28.02.2025;3;735
30736;13.02.2025;24;12 086
39232;14.02.2025;6;2 944
22220;02.02.2025;25;4 112
40343;20.02.2025;7;1 475
35448;15.02.2025;42;3 617
38917;28.02.2025;3;1 499
31592;17.02.2025;32;5 264
38266;02.02.2025;28;2 786
39030;15.02.2025;21;8 951
38209;17.02.2025;6;1 047
37887;10.02.2025;13;3 559
39827;27.02.2025;18;7 531
32826;17.02.2025;7;771
38917;14.02.2025;1;845
36780;14.02.2025;4;1 721
37272;09.02.2025;3;1 489
39033;15.02.2025;3;1 452
3841;17.02.2025;18;2 241
17358;10.02.2025;34;6 364
37042;09.02.2025;8;556
39082;02.02.2025;20;3 435
37222;21.02.2025;3;930
24609;20.02.2025;7;3 419
36296;10.02.2025;21;2 188
33418;03.02.2025;14;1 718
39026;27.02.2025;11;6 219
36069;09.02.2025;1;1 221
37176;10.02.2025;14;7 758
40500;28.02.2025;38;4 415
37076;16.02.2025;1;115
33887;15.02.2025;70;6 965
34621;20.02.2025;25;3 687
36296;13.02.2025;281;25 710
19251;20.02.2025;8;3 454
38816;20.02.2025;4;1 365
39030;09.02.2025;3;1 489
39171;03.02.2025;10;4 495
39295;10.02.2025;1;443
30736;10.02.2025;32;16 208
40496;13.02.2025;25;9 574
32830;17.02.2025;8;867
37930;09.02.2025;3;963
38269;03.02.2025;17;1 541
27861;28.02.2025;11;4 394
39296;13.02.2025;76;30 840
13450;20.02.2025;17;2 275
39230;02.02.2025;11;3 889
37733;16.02.2025;11;1 209
34245;17.02.2025;10;4 495
37884;13.02.2025;27;8 084
37966;17.02.2025;7;2 796
38699;03.02.2025;7;2 840
31167;15.02.2025;6;888
37076;13.02.2025;7;604
30622;20.02.2025;8;4 396
37470;14.02.2025;7;4 154
34246;03.02.2025;8;3 996
40052;09.02.2025;6;1 197
37964;13.02.2025;34;14 433
17355;28.02.2025;27;6 331
39183;09.02.2025;1;325
38235;03.02.2025;1;425
32828;10.02.2025;64;6 379
37472;17.02.2025;3;598
34621;03.02.2025;29;4 200
40051;13.02.2025;113;22 346
32824;13.02.2025;48;5 011
39182;21.02.2025;1;250
39347;13.02.2025;32;6 469
39709;03.02.2025;3;391
39171;22.02.2025;1;449
38783;28.02.2025;3;2 940
19251;17.02.2025;1;365
39607;28.02.2025;24;7 865
36070;27.02.2025;1;2 571
3612;28.02.2025;91;11 332
37930;15.02.2025;3;957
39029;17.02.2025;20;5 017
40500;22.02.2025;7;696
17358;13.02.2025;41;6 543
13450;03.02.2025;8;1 036
21995;28.02.2025;112;14 602
22220;28.02.2025;27;5 445
27867;27.02.2025;7;2 814
39231;16.02.2025;22;8 318
35216;03.02.2025;1;310
37733;15.02.2025;213;20 045
38783;14.02.2025;1;400
39295;13.02.2025;36;15 097
37177;17.02.2025;6;3 360
39182;15.02.2025;17;4 242
24752;28.02.2025;14;2 523
36071;17.02.2025;1;2 571
35428;09.02.2025;8;981
34620;14.02.2025;4;575
40787;22.02.2025;34;17 157
32822;10.02.2025;3;298
36298;21.02.2025;14;1 323
39082;03.02.2025;3;493
39032;03.02.2025;13;5 028
40050;13.02.2025;55;10 773
34620;17.02.2025;1;129
37222;10.02.2025;7;2 411
39176;15.02.2025;6;1 216
30622;27.02.2025;8;4 509
36295;27.02.2025;3;419
27867;28.02.2025;22;10 385
19251;09.02.2025;3;1 279
36295;10.02.2025;15;1 920
38817;02.02.2025;3;1 002
39713;13.02.2025;116;14 442
35448;09.02.2025;7;705
30622;03.02.2025;1;549
37888;28.02.2025;1;1 230
39248;01.02.2025;7;1 921
37885;27.02.2025;7;1 981
31419;20.02.2025;11;3 548
37998;28.02.2025;4;847
22219;27.02.2025;25;4 049
39186;14.02.2025;1;400
37472;20.02.2025;25;5 793
24752;14.02.2025;17;2 796
39512;20.02.2025;25;5 458
37471;03.02.2025;3;622
38813;09.02.2025;3;1 103
17354;22.02.2025;18;2 961
39031;27.02.2025;11;4 294
27850;22.02.2025;1;190
39183;15.02.2025;1;354
40342;22.02.2025;4;498
5884;15.02.2025;34;10 149
17328;15.02.2025;15;2 792
37735;28.02.2025;7;1 144
22219;10.02.2025;27;4 783
40499;15.02.2025;17;1 862
33467;14.02.2025;3;1 379
37966;10.02.2025;4;1 598
22223;27.02.2025;24;4 019
37474;27.02.2025;21;4 344
17328;16.02.2025;3;493
40051;17.02.2025;13;2 593
37179;10.02.2025;1;386
37478;28.02.2025;1;315
31592;16.02.2025;87;14 428
17355;20.02.2025;38;6 176
39026;13.02.2025;32;18 572
39709;27.02.2025;15;2 079
34620;20.02.2025;18;2 710
37966;13.02.2025;11;4 462
39713;15.02.2025;21;2 614
39186;15.02.2025;7;2 865
40340;10.02.2025;1;125
40339;22.02.2025;14;1 743
38482;17.02.2025;7;2 621
32829;28.02.2025;4;776
3841;20.02.2025;22;2 739
38267;28.02.2025;10;1 938
33886;27.02.2025;262;27 169
1446;10.02.2025;7;3 846
39175;20.02.2025;8;1 654
9429;13.02.2025;41;5 632
36296;14.02.2025;4;383
39029;16.02.2025;1;250
39296;14.02.2025;3;1 337
37885;14.02.2025;1;274
30736;02.02.2025;1;500
39031;03.02.2025;4;1 522
11941;13.02.2025;29;13 764
17353;10.02.2025;11;1 809
17354;02.02.2025;50;8 365
22217;21.02.2025;1;164
24752;17.02.2025;20;3 290
38267;27.02.2025;6;675
17355;17.02.2025;49;7 784
39231;22.02.2025;22;8 366
8673;09.02.2025;8;1 124
37470;13.02.2025;28;15 729
40787;21.02.2025;27;13 487
39034;03.02.2025;20;7 491
36783;15.02.2025;4;2 288
39696;17.02.2025;1;500
39187;27.02.2025;10;4 118
37884;16.02.2025;3;884
39026;10.02.2025;3;1 648
38815;01.02.2025;4;1 398
36307;09.02.2025;1;3 925
27850;09.02.2025;1;190
37885;28.02.2025;3;1 394
38981;03.02.2025;3;665
38266;03.02.2025;14;1 393
38538;16.02.2025;1;400
39029;20.02.2025;3;875
32823;03.02.2025;13;1 318
34245;20.02.2025;4;1 918
39187;13.02.2025;4;1 598
37735;20.02.2025;1;151
39233;15.02.2025;3;1 132
8675;28.02.2025;45;6 080
35440;28.02.2025;8;1 529
37996;28.02.2025;4;835
39232;27.02.2025;8;2 939
38482;03.02.2025;11;4 119
33419;27.02.2025;1;140
35309;02.02.2025;7;1 728
39173;28.02.2025;6;1 107
39082;20.02.2025;63;10 469
39709;15.02.2025;27;3 348
17353;16.02.2025;4;658
40219;10.02.2025;13;2 538
30737;14.02.2025;7;2 796
37471;20.02.2025;13;3 361
3613;21.02.2025;28;3 540
31419;09.02.2025;3;1 051
17333;22.02.2025;27;4 441
40220;17.02.2025;18;3 591
38208;17.02.2025;6;1 047
27861;27.02.2025;11;4 394
37471;09.02.2025;3;598
38235;21.02.2025;4;1 698
38817;28.02.2025;6;1 737
39061;28.02.2025;8;22 341
30736;16.02.2025;1;500
13450;17.02.2025;4;518
9429;14.02.2025;20;2 895
38816;03.02.2025;4;1 238
34620;10.02.2025;14;2 253
40500;27.02.2025;273;28 155
37966;03.02.2025;7;2 796
32830;10.02.2025;29;2 875
38816;16.02.2025;4;1 298
36782;28.02.2025;7;3 846
1805;09.02.2025;14;7 337
21995;10.02.2025;1;130
39032;09.02.2025;10;3 926
39703;02.02.2025;14;1 953
33092;28.02.2025;7;2 268
38646;09.02.2025;6;2 782
36333;09.02.2025;1;362
38699;02.02.2025;10;4 432
37930;28.02.2025;3;1 394
32824;16.02.2025;11;1 003
39034;16.02.2025;1;375
39703;21.02.2025;15;1 950
37471;13.02.2025;1;200
38266;13.02.2025;74;7 841
13449;17.02.2025;28;3 821
31419;03.02.2025;10;2 838
3841;13.02.2025;91;11 226
24609;03.02.2025;13;5 840
